,ACC,ACP,AVAILABLE,BIAS,BMAX,BMIN,BRB,BREP,BRM1,BRM2,DR,ENABLED,FORE,FROM FILE,ID,IMAX,IMIN,KMPOST,LINE,MODE,MREP,MULT,NFD,NOTE,NREP,OFF,OMAX,OMIN,OPENPATH,OREP,OUTOFRANGE,RANGE,RAW.UNITS,RB,RDR,REP,RULE,SCALING,SDB,SP,TAGS,TAVE,TEB,TOUT,VAL,XACC,XBRB,XBREP,XCOORD,XMREP,XNREP,XOREP,XRB,XRDR,XREP,YCOORD
,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PERCENT,PERCENT/MIN,PERCENT,n/a,PERCENT,PERCENT,PERCENT,PERCENT/MIN,PERCENT/MIN,PERCENT,n/a
EDNBG-A0-MOVBP,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,4068,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,EDNBG BV,,,1,,,,,19676,,,,,,,2281
EDNBG-A0-MOVD,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,4084,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,EDNBG BV,,,1,,,,,19676,,,,,,,2391
EDNBG-A0-MOVS,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,4116,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,EDNBG BV,,,1,,,,,19676,,,,,,,2334
EDNBG-A0-PD,,,0,,15000,-99,,10000,,,MON_EDNBG_A0_PD:SP,1,,INPREP_INC\KSTA\LDS\EDNBG.INC,,15000,-99,0,27,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,EDNBG PRS,,,1,,,,,20002,,,,,,,2579
EDNBG-A0-PMLD,,,0,,15000,-99,,10000,,,MON_EDNBG_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,4148,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,EDNBG PRS,,,1,,,,,19762,,,,,,,2127
EDNBG-A0-PMLS,,,0,,15000,-99,,10000,,,MON_EDNBG_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,4180,ON,,,3,,5000,,15000,-99,0,,0,,,,,120,LINEAR,DISABLED,,0.08333,EDNBG PRS,,,1,,,,,19572,,,,,,,2134
EDNBG-A0-PS,,,0,,15000,-99,,10000,,,MON_EDNBG_A0_PS:SP,1,,INPREP_INC\KSTA\LDS\EDNBG.INC,,15000,-99,0,43,ON,,,3,,5000,,15000,-99,0,,0,,,,,120,LINEAR,DISABLED,,0.08333,EDNBG PRS,,,1,,,,,19547,,,,,,,2532
EDNBG-A0-Q,,,0,,6625,-4999,,10000,,,,1,,INPREP_INC\KSTA\LDS\EDNBG.INC,,6625,-4999,0,59,ON,,,3,,5000,,6625,-4999,0,,0,,,,,(EDNBG-A0-Q:RAW < 2 ? 0.2 : 20),LINEAR,ENABLED,,0.08333,EDNBG FLW,,,1,,,,,19771,,,,,,,2573
EDNBG-A0-TD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,4211,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,EDNBG TMP,,,1,,,,,20001,,,,,,,2529
EDNBG-A0-TMLD,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,4257,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,EDNBG TMP,,,1,,,,,19759,,,,,,,2080
