,Opening Time,Valve Coef (dimensionless)
,MIN,n/a
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,7.958,3500
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,8.074,4750
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,8.19,6000
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,8.306,8000
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,8.421,10800
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,8.537,14200
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,8.653,20000
BALL_NPS24_PS_US_9MIN_FLANGED_OPEN,9,98600
BALL_NPS24_PS_US_9MIN_OPEN,0,0
BALL_NPS24_PS_US_9MIN_OPEN,6.111,325
BALL_NPS24_PS_US_9MIN_OPEN,7.333,520
BALL_NPS24_PS_US_9MIN_OPEN,7.38,650
BALL_NPS24_PS_US_9MIN_OPEN,7.495,1000
BALL_NPS24_PS_US_9MIN_OPEN,7.611,1500
BALL_NPS24_PS_US_9MIN_OPEN,7.727,2000
BALL_NPS24_PS_US_9MIN_OPEN,7.843,2750
BALL_NPS24_PS_US_9MIN_OPEN,7.958,3500
BALL_NPS24_PS_US_9MIN_OPEN,8.074,4750
BALL_NPS24_PS_US_9MIN_OPEN,8.19,6000
BALL_NPS24_PS_US_9MIN_OPEN,8.306,8000
BALL_NPS24_PS_US_9MIN_OPEN,8.421,10800
BALL_NPS24_PS_US_9MIN_OPEN,8.537,14200
BALL_NPS24_PS_US_9MIN_OPEN,8.653,20000
BALL_NPS24_PS_US_9MIN_OPEN,9,110500
BALL_NPS24RB_PS_CAN34_OPEN,0,0
BALL_NPS24RB_PS_CAN34_OPEN,6.111,270
BALL_NPS24RB_PS_CAN34_OPEN,7.333,408
BALL_NPS24RB_PS_CAN34_OPEN,7.38,500
BALL_NPS24RB_PS_CAN34_OPEN,7.495,800
BALL_NPS24RB_PS_CAN34_OPEN,7.611,1200
BALL_NPS24RB_PS_CAN34_OPEN,7.727,1700
BALL_NPS24RB_PS_CAN34_OPEN,7.843,2200
BALL_NPS24RB_PS_CAN34_OPEN,7.958,2800
BALL_NPS24RB_PS_CAN34_OPEN,8.074,3500
BALL_NPS24RB_PS_CAN34_OPEN,8.19,4500
BALL_NPS24RB_PS_CAN34_OPEN,8.306,6000
BALL_NPS24RB_PS_CAN34_OPEN,8.421,7600
BALL_NPS24RB_PS_CAN34_OPEN,8.537,10000
BALL_NPS24RB_PS_CAN34_OPEN,8.653,14000
BALL_NPS24RB_PS_CAN34_OPEN,8.769,19000
BALL_NPS24RB_PS_CAN34_OPEN,9,51900
BALL_NPS24RB_PS_CAN_OPEN,0,0
BALL_NPS24RB_PS_CAN_OPEN,3.611,270
BALL_NPS24RB_PS_CAN_OPEN,4.333,408
BALL_NPS24RB_PS_CAN_OPEN,4.38,500
BALL_NPS24RB_PS_CAN_OPEN,4.495,800
BALL_NPS24RB_PS_CAN_OPEN,4.611,1200
BALL_NPS24RB_PS_CAN_OPEN,4.727,1700
BALL_NPS24RB_PS_CAN_OPEN,4.843,2200
BALL_NPS24RB_PS_CAN_OPEN,4.958,2800
BALL_NPS24RB_PS_CAN_OPEN,5.074,3500
BALL_NPS24RB_PS_CAN_OPEN,5.19,4500
BALL_NPS24RB_PS_CAN_OPEN,5.306,6000
BALL_NPS24RB_PS_CAN_OPEN,5.421,7600
BALL_NPS24RB_PS_CAN_OPEN,5.537,10000
BALL_NPS24RB_PS_CAN_OPEN,5.653,14000
BALL_NPS24RB_PS_CAN_OPEN,5.769,19000
BALL_NPS24RB_PS_CAN_OPEN,6,51900
BALL_NPS24RB_PS_US_OPEN,0,0
BALL_NPS24RB_PS_US_OPEN,3.611,270
BALL_NPS24RB_PS_US_OPEN,4.333,408
BALL_NPS24RB_PS_US_OPEN,4.38,500
BALL_NPS24RB_PS_US_OPEN,4.495,800
BALL_NPS24RB_PS_US_OPEN,4.611,1200
BALL_NPS24RB_PS_US_OPEN,4.727,1700
BALL_NPS24RB_PS_US_OPEN,4.843,2200
BALL_NPS24RB_PS_US_OPEN,4.958,2800
BALL_NPS24RB_PS_US_OPEN,5.074,3500
BALL_NPS24RB_PS_US_OPEN,5.19,4500
BALL_NPS24RB_PS_US_OPEN,5.306,6000
BALL_NPS24RB_PS_US_OPEN,5.421,7600
BALL_NPS24RB_PS_US_OPEN,5.537,10000
BALL_NPS24RB_PS_US_OPEN,5.653,14000
BALL_NPS24RB_PS_US_OPEN,5.769,19000
BALL_NPS24RB_PS_US_OPEN,6,51900
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,0,0
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,5.856,500
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,7.809,1000
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,9.761,1550
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,10.542,1890
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,10.611,2400
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,10.727,3200
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,10.843,4400
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,10.958,5800
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,11.074,7700
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,11.19,9600
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,11.306,13000
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,11.421,16000
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,11.537,22000
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,11.653,30000
BALL_NPS30_PS_CAN_12MIN_30_70_OPEN,12,184400
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,0,0
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,8.611,500
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,10.333,800
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,10.38,1000
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,10.495,1550
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,10.611,2400
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,10.727,3200
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,10.843,4400
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,10.958,5800
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,11.074,7700
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,11.19,9600
