,Flow,Head
,AM3/HR,M
WELWD_WELLWOOD_PUMP_HEAD,0,215.1
WELWD_WELLWOOD_PUMP_HEAD,882,228.4
WELWD_WELLWOOD_PUMP_HEAD,1588.7,231.5
WELWD_WELLWOOD_PUMP_HEAD,2757.1,230.2
WELWD_WELLWOOD_PUMP_HEAD,3923.8,209.2
WELWD_WELLWOOD_PUMP_HEAD,4363.8,197.3
WELWD_WELLWOOD_PUMP_HEAD,4959.9,178.4
WELWD_WELLWOOD_PUMP_HEAD,7976.9,0
WLBER_WILBER_PUMP_HEAD,0,288.3
WLBER_WILBER_PUMP_HEAD,917.9,301.3
WLBER_WILBER_PUMP_HEAD,1563,304.4
WLBER_WILBER_PUMP_HEAD,3227.7,302.2
WLBER_WILBER_PUMP_HEAD,3945.6,286.8
WLBER_WILBER_PUMP_HEAD,4380.6,274
WLBER_WILBER_PUMP_HEAD,4943.5,257
WLBER_WILBER_PUMP_HEAD,8361.7,0
WTWOD_WHITEWOOD_PUMP_HEAD,0,246.2
WTWOD_WHITEWOOD_PUMP_HEAD,2223.1,245.1
WTWOD_WHITEWOOD_PUMP_HEAD,3330.5,222.3
WTWOD_WHITEWOOD_PUMP_HEAD,4255.3,201
WTWOD_WHITEWOOD_PUMP_HEAD,4396.7,196.5
WTWOD_WHITEWOOD_PUMP_HEAD,4860.4,177.7
WTWOD_WHITEWOOD_PUMP_HEAD,8343.8,0
